dataset,condition_dir,strategy,graph_path,task,correct_answer,correct_answer_label,revisit_correct_answer,placeholder_node,placeholder_node_label,placeholder_node_a,placeholder_node_b,target_community_index,correct_answer_count,computation
condition_4_graph_04,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_04.json,T2,n082,82,"[{""id"": ""task-answer"", ""answer"": ""[\""n082\""]""}]",,,n003,n001,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_04,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_04.json,T3,n007;n011;n014;n015;n021;n023;n024;n032;n035;n037;n038;n040;n046;n050;n060;n061;n062;n064;n067;n068;n070;n072;n077;n080;n081;n086;n087;n096;n099;n108;n110;n112;n113;n115;n116;n118;n119;n120,7;11;14;15;21;23;24;32;35;37;38;40;46;50;60;61;62;64;67;68;70;72;77;80;81;86;87;96;99;108;110;112;113;115;116;118;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n007\"", \""n011\"", \""n014\"", \""n015\"", \""n021\"", \""n023\"", \""n024\"", \""n032\"", \""n035\"", \""n037\"", \""n038\"", \""n040\"", \""n046\"", \""n050\"", \""n060\"", \""n061\"", \""n062\"", \""n064\"", \""n067\"", \""n068\"", \""n070\"", \""n072\"", \""n077\"", \""n080\"", \""n081\"", \""n086\"", \""n087\"", \""n096\"", \""n099\"", \""n108\"", \""n110\"", \""n112\"", \""n113\"", \""n115\"", \""n116\"", \""n118\"", \""n119\"", \""n120\""]""}]",n120,120,,,3,38,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_05,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_05.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_05,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_05.json,T2,n021;n108,21;108,"[{""id"": ""task-answer"", ""answer"": ""[\""n021\"", \""n108\""]""}]",,,n005,n001,,2,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_05,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_05.json,T3,n003;n004;n009;n010;n012;n023;n025;n028;n031;n046;n047;n050;n054;n055;n058;n063;n066;n077;n082;n089;n095;n097;n101;n102;n104;n107;n113;n115;n119;n120,3;4;9;10;12;23;25;28;31;46;47;50;54;55;58;63;66;77;82;89;95;97;101;102;104;107;113;115;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n004\"", \""n009\"", \""n010\"", \""n012\"", \""n023\"", \""n025\"", \""n028\"", \""n031\"", \""n046\"", \""n047\"", \""n050\"", \""n054\"", \""n055\"", \""n058\"", \""n063\"", \""n066\"", \""n077\"", \""n082\"", \""n089\"", \""n095\"", \""n097\"", \""n101\"", \""n102\"", \""n104\"", \""n107\"", \""n113\"", \""n115\"", \""n119\"", \""n120\""]""}]",n120,120,,,3,30,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_06,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_06.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_06,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_06.json,T2,n106,106,"[{""id"": ""task-answer"", ""answer"": ""[\""n106\""]""}]",,,n009,n031,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_06,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_06.json,T3,n004;n007;n008;n011;n012;n014;n016;n019;n036;n043;n051;n052;n054;n059;n066;n067;n071;n072;n073;n074;n075;n088;n090;n093;n095;n097;n101;n104;n110;n111;n115;n120,4;7;8;11;12;14;16;19;36;43;51;52;54;59;66;67;71;72;73;74;75;88;90;93;95;97;101;104;110;111;115;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n004\"", \""n007\"", \""n008\"", \""n011\"", \""n012\"", \""n014\"", \""n016\"", \""n019\"", \""n036\"", \""n043\"", \""n051\"", \""n052\"", \""n054\"", \""n059\"", \""n066\"", \""n067\"", \""n071\"", \""n072\"", \""n073\"", \""n074\"", \""n075\"", \""n088\"", \""n090\"", \""n093\"", \""n095\"", \""n097\"", \""n101\"", \""n104\"", \""n110\"", \""n111\"", \""n115\"", \""n120\""]""}]",n120,120,,,2,32,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_07,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_07.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_07,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_07.json,T2,n049,49,"[{""id"": ""task-answer"", ""answer"": ""[\""n049\""]""}]",,,n006,n013,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_07,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_07.json,T3,n011;n016;n017;n018;n019;n027;n028;n035;n036;n040;n048;n052;n058;n059;n061;n062;n063;n068;n069;n085;n092;n096;n101;n103;n106;n108;n119,11;16;17;18;19;27;28;35;36;40;48;52;58;59;61;62;63;68;69;85;92;96;101;103;106;108;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n011\"", \""n016\"", \""n017\"", \""n018\"", \""n019\"", \""n027\"", \""n028\"", \""n035\"", \""n036\"", \""n040\"", \""n048\"", \""n052\"", \""n058\"", \""n059\"", \""n061\"", \""n062\"", \""n063\"", \""n068\"", \""n069\"", \""n085\"", \""n092\"", \""n096\"", \""n101\"", \""n103\"", \""n106\"", \""n108\"", \""n119\""]""}]",n119,119,,,3,27,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_08,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_08.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_08,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_08.json,T2,n108,108,"[{""id"": ""task-answer"", ""answer"": ""[\""n108\""]""}]",,,n005,n039,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_08,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_08.json,T3,n005;n006;n007;n008;n013;n020;n023;n029;n035;n043;n047;n052;n054;n056;n060;n061;n063;n068;n069;n074;n075;n076;n085;n087;n091;n093;n099;n101;n109,5;6;7;8;13;20;23;29;35;43;47;52;54;56;60;61;63;68;69;74;75;76;85;87;91;93;99;101;109,"[{""id"": ""task-answer"", ""answer"": ""[\""n005\"", \""n006\"", \""n007\"", \""n008\"", \""n013\"", \""n020\"", \""n023\"", \""n029\"", \""n035\"", \""n043\"", \""n047\"", \""n052\"", \""n054\"", \""n056\"", \""n060\"", \""n061\"", \""n063\"", \""n068\"", \""n069\"", \""n074\"", \""n075\"", \""n076\"", \""n085\"", \""n087\"", \""n091\"", \""n093\"", \""n099\"", \""n101\"", \""n109\""]""}]",n109,109,,,0,29,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_09,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_09.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_09,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_09.json,T2,n119,119,"[{""id"": ""task-answer"", ""answer"": ""[\""n119\""]""}]",,,n016,n009,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_09,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_09.json,T3,n001;n006;n009;n015;n017;n027;n028;n029;n040;n042;n044;n045;n047;n053;n055;n064;n073;n074;n078;n081;n087;n093;n099;n100;n101;n102;n104;n106;n109;n111;n112;n114;n117;n118;n120,1;6;9;15;17;27;28;29;40;42;44;45;47;53;55;64;73;74;78;81;87;93;99;100;101;102;104;106;109;111;112;114;117;118;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n006\"", \""n009\"", \""n015\"", \""n017\"", \""n027\"", \""n028\"", \""n029\"", \""n040\"", \""n042\"", \""n044\"", \""n045\"", \""n047\"", \""n053\"", \""n055\"", \""n064\"", \""n073\"", \""n074\"", \""n078\"", \""n081\"", \""n087\"", \""n093\"", \""n099\"", \""n100\"", \""n101\"", \""n102\"", \""n104\"", \""n106\"", \""n109\"", \""n111\"", \""n112\"", \""n114\"", \""n117\"", \""n118\"", \""n120\""]""}]",n120,120,,,1,35,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_10,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_10.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_10,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_10.json,T2,n051;n117,51;117,"[{""id"": ""task-answer"", ""answer"": ""[\""n051\"", \""n117\""]""}]",,,n002,n019,,2,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_10,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_10.json,T3,n001;n008;n009;n012;n017;n019;n020;n026;n028;n030;n034;n037;n042;n045;n051;n053;n055;n056;n057;n066;n068;n073;n078;n082;n084;n087;n089;n090;n091;n094;n097;n101;n110;n111;n112;n116;n119,1;8;9;12;17;19;20;26;28;30;34;37;42;45;51;53;55;56;57;66;68;73;78;82;84;87;89;90;91;94;97;101;110;111;112;116;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n008\"", \""n009\"", \""n012\"", \""n017\"", \""n019\"", \""n020\"", \""n026\"", \""n028\"", \""n030\"", \""n034\"", \""n037\"", \""n042\"", \""n045\"", \""n051\"", \""n053\"", \""n055\"", \""n056\"", \""n057\"", \""n066\"", \""n068\"", \""n073\"", \""n078\"", \""n082\"", \""n084\"", \""n087\"", \""n089\"", \""n090\"", \""n091\"", \""n094\"", \""n097\"", \""n101\"", \""n110\"", \""n111\"", \""n112\"", \""n116\"", \""n119\""]""}]",n119,119,,,1,37,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_11,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_11.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_11,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_11.json,T2,n100,100,"[{""id"": ""task-answer"", ""answer"": ""[\""n100\""]""}]",,,n006,n005,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_11,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_11.json,T3,n003;n008;n010;n012;n017;n019;n023;n035;n036;n050;n056;n062;n066;n071;n078;n080;n082;n089;n092;n098;n106;n112;n113;n114;n115;n117;n118;n119,3;8;10;12;17;19;23;35;36;50;56;62;66;71;78;80;82;89;92;98;106;112;113;114;115;117;118;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n008\"", \""n010\"", \""n012\"", \""n017\"", \""n019\"", \""n023\"", \""n035\"", \""n036\"", \""n050\"", \""n056\"", \""n062\"", \""n066\"", \""n071\"", \""n078\"", \""n080\"", \""n082\"", \""n089\"", \""n092\"", \""n098\"", \""n106\"", \""n112\"", \""n113\"", \""n114\"", \""n115\"", \""n117\"", \""n118\"", \""n119\""]""}]",n119,119,,,2,28,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_12,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_12.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_12,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_12.json,T2,n115,115,"[{""id"": ""task-answer"", ""answer"": ""[\""n115\""]""}]",,,n012,n026,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_12,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_12.json,T3,n002;n005;n007;n011;n014;n015;n016;n020;n023;n029;n031;n034;n037;n039;n041;n044;n045;n046;n047;n049;n053;n056;n057;n058;n061;n068;n069;n073;n074;n075;n078;n079;n081;n082;n085;n087;n088;n090;n097;n098;n099;n104;n105;n106;n107;n110;n111;n112;n120,2;5;7;11;14;15;16;20;23;29;31;34;37;39;41;44;45;46;47;49;53;56;57;58;61;68;69;73;74;75;78;79;81;82;85;87;88;90;97;98;99;104;105;106;107;110;111;112;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n005\"", \""n007\"", \""n011\"", \""n014\"", \""n015\"", \""n016\"", \""n020\"", \""n023\"", \""n029\"", \""n031\"", \""n034\"", \""n037\"", \""n039\"", \""n041\"", \""n044\"", \""n045\"", \""n046\"", \""n047\"", \""n049\"", \""n053\"", \""n056\"", \""n057\"", \""n058\"", \""n061\"", \""n068\"", \""n069\"", \""n073\"", \""n074\"", \""n075\"", \""n078\"", \""n079\"", \""n081\"", \""n082\"", \""n085\"", \""n087\"", \""n088\"", \""n090\"", \""n097\"", \""n098\"", \""n099\"", \""n104\"", \""n105\"", \""n106\"", \""n107\"", \""n110\"", \""n111\"", \""n112\"", \""n120\""]""}]",n120,120,,,2,49,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_13,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_13.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_13,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_13.json,T2,n055,55,"[{""id"": ""task-answer"", ""answer"": ""[\""n055\""]""}]",,,n019,n075,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_13,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_13.json,T3,n006;n007;n009;n010;n011;n012;n013;n016;n018;n020;n025;n037;n044;n048;n050;n060;n069;n071;n072;n078;n082;n084;n085;n089;n090;n091;n094;n098;n099;n104;n109;n112;n113;n116;n119;n120,6;7;9;10;11;12;13;16;18;20;25;37;44;48;50;60;69;71;72;78;82;84;85;89;90;91;94;98;99;104;109;112;113;116;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n006\"", \""n007\"", \""n009\"", \""n010\"", \""n011\"", \""n012\"", \""n013\"", \""n016\"", \""n018\"", \""n020\"", \""n025\"", \""n037\"", \""n044\"", \""n048\"", \""n050\"", \""n060\"", \""n069\"", \""n071\"", \""n072\"", \""n078\"", \""n082\"", \""n084\"", \""n085\"", \""n089\"", \""n090\"", \""n091\"", \""n094\"", \""n098\"", \""n099\"", \""n104\"", \""n109\"", \""n112\"", \""n113\"", \""n116\"", \""n119\"", \""n120\""]""}]",n120,120,,,2,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_14,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_14.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_14,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_14.json,T2,n110,110,"[{""id"": ""task-answer"", ""answer"": ""[\""n110\""]""}]",,,n003,n033,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_14,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_14.json,T3,n003;n005;n006;n007;n009;n015;n019;n022;n025;n027;n028;n029;n030;n031;n037;n043;n053;n058;n059;n064;n066;n067;n074;n080;n083;n084;n085;n088;n099;n104;n109;n110;n111;n114,3;5;6;7;9;15;19;22;25;27;28;29;30;31;37;43;53;58;59;64;66;67;74;80;83;84;85;88;99;104;109;110;111;114,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n005\"", \""n006\"", \""n007\"", \""n009\"", \""n015\"", \""n019\"", \""n022\"", \""n025\"", \""n027\"", \""n028\"", \""n029\"", \""n030\"", \""n031\"", \""n037\"", \""n043\"", \""n053\"", \""n058\"", \""n059\"", \""n064\"", \""n066\"", \""n067\"", \""n074\"", \""n080\"", \""n083\"", \""n084\"", \""n085\"", \""n088\"", \""n099\"", \""n104\"", \""n109\"", \""n110\"", \""n111\"", \""n114\""]""}]",n114,114,,,0,34,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_15,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_15.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_15,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_15.json,T2,n066,66,"[{""id"": ""task-answer"", ""answer"": ""[\""n066\""]""}]",,,n002,n076,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_15,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_15.json,T3,n004;n019;n023;n025;n033;n038;n041;n044;n047;n048;n050;n052;n057;n068;n069;n071;n084;n089;n092;n093;n096;n097;n102;n103;n105;n118;n119,4;19;23;25;33;38;41;44;47;48;50;52;57;68;69;71;84;89;92;93;96;97;102;103;105;118;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n004\"", \""n019\"", \""n023\"", \""n025\"", \""n033\"", \""n038\"", \""n041\"", \""n044\"", \""n047\"", \""n048\"", \""n050\"", \""n052\"", \""n057\"", \""n068\"", \""n069\"", \""n071\"", \""n084\"", \""n089\"", \""n092\"", \""n093\"", \""n096\"", \""n097\"", \""n102\"", \""n103\"", \""n105\"", \""n118\"", \""n119\""]""}]",n119,119,,,5,27,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
training-g01,training,training,to-link-or-not/graphs/training/training-g01.json,T1,hub,H,"[{""id"": ""task-answer"", ""answer"": ""hub""}]",hub,H,,,,1,NetworkX degree; max degree with highest node-id tie break
training-g01,training,training,to-link-or-not/graphs/training/training-g01.json,T2,hub,H,"[{""id"": ""task-answer"", ""answer"": ""[\""hub\""]""}]",,,a0,b0,,1,"NetworkX common_neighbors(anchor A, anchor B)"
training-g01,training,training,to-link-or-not/graphs/training/training-g01.json,T3,b0;b1;b2;b3;b4;b5,B0;B1;B2;B3;B4;B5,"[{""id"": ""task-answer"", ""answer"": ""[\""b0\"", \""b1\"", \""b2\"", \""b3\"", \""b4\"", \""b5\""]""}]",b2,B2,,,1,6,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
